Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
France,6220,5870,5770,6460,6740,6180,5900,5470,5360,5740,6180,6130,72020
Others,3050,2900,2990,3050,3130,2870,3020,3000,2870,2960,3080,3370,36290
