Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
France,790,790,840,980,980,820,750,750,730,800,850,860,9940
Others,560,560,540,660,620,590,570,550,520,580,550,580,6880
