Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
India,440,550,430,550,650,560,580,580,410,360,270,360,5740
Others,180,140,150,190,220,250,170,140,130,130,160,170,2030
