Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
Germany,1020,1000,1060,1110,1080,1020,990,990,970,1000,1010,1030,12280
Others,370,350,380,420,410,380,380,410,380,400,380,410,4670
