Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
Germany,6080,5910,5630,5800,5950,5720,5780,5490,5340,5490,5500,5650,68340
Others,2090,1920,1830,1960,1980,1870,1870,1920,1790,1930,1920,1970,23050
