Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
Germany,1370,1330,1290,1440,1510,1330,1430,1200,1130,1270,1300,1280,15880
India,5550,4960,4980,5340,5890,6060,6300,5920,5330,5500,4950,5200,65980
France,810,750,720,840,890,810,840,860,710,770,850,720,9570
Others,54470,53140,53870,54680,56920,52660,53040,52850,54190,55880,53980,52770,648450
