Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
Germany,130,110,120,120,130,120,120,120,120,130,120,130,1470
India,220,200,240,260,270,250,260,270,250,270,230,260,2980
France,60,50,60,60,60,50,50,50,40,50,50,50,630
Others,5040,4890,5150,5400,5640,5460,5500,5540,5300,5440,5290,5550,64200
